+----------------------------------------------------+--------------------------------------------------------+-----------------------------------+--------+
| Mod name                                           | Registry name                                          | Entity class name                 |     ID |
+----------------------------------------------------+--------------------------------------------------------+-----------------------------------+--------+
| AetherWorks                                        | aetherworks:entity_arrow                               | AWArrow                           |      0 |
| AetherWorks                                        | aetherworks:entity_magma                               | AWMagma                           |      1 |
| Animania                                           | animania:buck_alpine                                   | EntityBuckAlpine                  |     69 |
| Animania                                           | animania:buck_angora                                   | EntityBuckAngora                  |     72 |
| Animania                                           | animania:buck_chinchilla                               | EntityRabbitBuckChinchilla        |    110 |
| Animania                                           | animania:buck_cottontail                               | EntityRabbitBuckCottontail        |    107 |
| Animania                                           | animania:buck_dutch                                    | EntityRabbitBuckDutch             |    113 |
| Animania                                           | animania:buck_fainting                                 | EntityBuckFainting                |     75 |
| Animania                                           | animania:buck_havana                                   | EntityRabbitBuckHavana            |    116 |
| Animania                                           | animania:buck_jack                                     | EntityRabbitBuckJack              |    119 |
| Animania                                           | animania:buck_kiko                                     | EntityBuckKiko                    |     78 |
| Animania                                           | animania:buck_kinder                                   | EntityBuckKinder                  |     81 |
| Animania                                           | animania:buck_lop                                      | EntityRabbitBuckLop               |    128 |
| Animania                                           | animania:buck_new_zealand                              | EntityRabbitBuckNewZealand        |    122 |
| Animania                                           | animania:buck_nigerian_dwarf                           | EntityBuckNigerianDwarf           |     84 |
| Animania                                           | animania:buck_pygmy                                    | EntityBuckPygmy                   |     87 |
| Animania                                           | animania:buck_rex                                      | EntityRabbitBuckRex               |    125 |
| Animania                                           | animania:bull_angus                                    | EntityBullAngus                   |     43 |
| Animania                                           | animania:bull_friesian                                 | EntityBullFriesian                |     46 |
| Animania                                           | animania:bull_hereford                                 | EntityBullHereford                |     49 |
| Animania                                           | animania:bull_highland                                 | EntityBullHighland                |     58 |
| Animania                                           | animania:bull_holstein                                 | EntityBullHolstein                |     52 |
| Animania                                           | animania:bull_jersey                                   | EntityBullJersey                  |     61 |
| Animania                                           | animania:bull_longhorn                                 | EntityBullLonghorn                |     55 |
| Animania                                           | animania:bull_mooshroom                                | EntityBullMooshroom               |     64 |
| Animania                                           | animania:calf_angus                                    | EntityCalfAngus                   |     41 |
| Animania                                           | animania:calf_friesian                                 | EntityCalfFriesian                |     44 |
| Animania                                           | animania:calf_hereford                                 | EntityCalfHereford                |     47 |
| Animania                                           | animania:calf_highland                                 | EntityCalfHighland                |     56 |
| Animania                                           | animania:calf_holstein                                 | EntityCalfHolstein                |     50 |
| Animania                                           | animania:calf_jersey                                   | EntityCalfJersey                  |     59 |
| Animania                                           | animania:calf_longhorn                                 | EntityCalfLonghorn                |     53 |
| Animania                                           | animania:calf_mooshroom                                | EntityCalfMooshroom               |     62 |
| Animania                                           | animania:cart                                          | EntityCart                        |    153 |
| Animania                                           | animania:chick_leghorn                                 | EntityChickLeghorn                |     26 |
| Animania                                           | animania:chick_orpington                               | EntityChickOrpington              |     29 |
| Animania                                           | animania:chick_plymouth_rock                           | EntityChickPlymouthRock           |     32 |
| Animania                                           | animania:chick_rhode_island_red                        | EntityChickRhodeIslandRed         |     35 |
| Animania                                           | animania:chick_wyandotte                               | EntityChickWyandotte              |     38 |
| Animania                                           | animania:cow_angus                                     | EntityCowAngus                    |     42 |
| Animania                                           | animania:cow_friesian                                  | EntityCowFriesian                 |     45 |
| Animania                                           | animania:cow_hereford                                  | EntityCowHereford                 |     48 |
| Animania                                           | animania:cow_highland                                  | EntityCowHighland                 |     57 |
| Animania                                           | animania:cow_holstein                                  | EntityCowHolstein                 |     51 |
| Animania                                           | animania:cow_jersey                                    | EntityCowJersey                   |     60 |
| Animania                                           | animania:cow_longhorn                                  | EntityCowLonghorn                 |     54 |
| Animania                                           | animania:cow_mooshroom                                 | EntityCowMooshroom                |     63 |
| Animania                                           | animania:dartfrog                                      | EntityDartFrogs                   |     67 |
| Animania                                           | animania:doe_alpine                                    | EntityDoeAlpine                   |     70 |
| Animania                                           | animania:doe_angora                                    | EntityDoeAngora                   |     73 |
| Animania                                           | animania:doe_chinchilla                                | EntityRabbitDoeChinchilla         |    111 |
| Animania                                           | animania:doe_cottontail                                | EntityRabbitDoeCottontail         |    108 |
| Animania                                           | animania:doe_dutch                                     | EntityRabbitDoeDutch              |    114 |
| Animania                                           | animania:doe_fainting                                  | EntityDoeFainting                 |     76 |
| Animania                                           | animania:doe_havana                                    | EntityRabbitDoeHavana             |    117 |
| Animania                                           | animania:doe_jack                                      | EntityRabbitDoeJack               |    120 |
| Animania                                           | animania:doe_kiko                                      | EntityDoeKiko                     |     79 |
| Animania                                           | animania:doe_kinder                                    | EntityDoeKinder                   |     82 |
| Animania                                           | animania:doe_lop                                       | EntityRabbitDoeLop                |    129 |
| Animania                                           | animania:doe_new_zealand                               | EntityRabbitDoeNewZealand         |    123 |
| Animania                                           | animania:doe_nigerian_dwarf                            | EntityDoeNigerianDwarf            |     85 |
| Animania                                           | animania:doe_pygmy                                     | EntityDoePygmy                    |     88 |
| Animania                                           | animania:doe_rex                                       | EntityRabbitDoeRex                |    126 |
| Animania                                           | animania:ewe_dorper                                    | EntityEweDorper                   |     96 |
| Animania                                           | animania:ewe_dorset                                    | EntityEweDorset                   |     99 |
| Animania                                           | animania:ewe_friesian                                  | EntityEweFriesian                 |     90 |
| Animania                                           | animania:ewe_jacob                                     | EntityEweJacob                    |    105 |
| Animania                                           | animania:ewe_merino                                    | EntityEweMerino                   |    102 |
| Animania                                           | animania:ewe_suffolk                                   | EntityEweSuffolk                  |     93 |
| Animania                                           | animania:ferret_grey                                   | EntityFerretGrey                  |      4 |
| Animania                                           | animania:ferret_white                                  | EntityFerretWhite                 |      5 |
| Animania                                           | animania:foal_draft                                    | EntityFoalDraftHorse              |      2 |
| Animania                                           | animania:frog                                          | EntityFrogs                       |     66 |
| Animania                                           | animania:hamster                                       | EntityHamster                     |      3 |
| Animania                                           | animania:hedgehog                                      | EntityHedgehog                    |      6 |
| Animania                                           | animania:hedgehog_albino                               | EntityHedgehogAlbino              |      7 |
| Animania                                           | animania:hen_leghorn                                   | EntityHenLeghorn                  |     27 |
| Animania                                           | animania:hen_orpington                                 | EntityHenOrpington                |     30 |
| Animania                                           | animania:hen_plymouth_rock                             | EntityHenPlymouthRock             |     33 |
| Animania                                           | animania:hen_rhode_island_red                          | EntityHenRhodeIslandRed           |     36 |
| Animania                                           | animania:hen_wyandotte                                 | EntityHenWyandotte                |     39 |
| Animania                                           | animania:hog_duroc                                     | EntityHogDuroc                    |     25 |
| Animania                                           | animania:hog_hampshire                                 | EntityHogHampshire                |     22 |
| Animania                                           | animania:hog_large_black                               | EntityHogLargeBlack               |     16 |
| Animania                                           | animania:hog_large_white                               | EntityHogLargeWhite               |     19 |
| Animania                                           | animania:hog_old_spot                                  | EntityHogOldSpot                  |     13 |
| Animania                                           | animania:hog_yorkshire                                 | EntityHogYorkshire                |     10 |
| Animania                                           | animania:kid_alpine                                    | EntityKidAlpine                   |     68 |
| Animania                                           | animania:kid_angora                                    | EntityKidAngora                   |     71 |
| Animania                                           | animania:kid_fainting                                  | EntityKidFainting                 |     74 |
| Animania                                           | animania:kid_kiko                                      | EntityKidKiko                     |     77 |
| Animania                                           | animania:kid_kinder                                    | EntityKidKinder                   |     80 |
| Animania                                           | animania:kid_nigerian_dwarf                            | EntityKidNigerianDwarf            |     83 |
| Animania                                           | animania:kid_pygmy                                     | EntityKidPygmy                    |     86 |
| Animania                                           | animania:kit_chinchilla                                | EntityRabbitKitChinchilla         |    112 |
| Animania                                           | animania:kit_cottontail                                | EntityRabbitKitCottontail         |    109 |
| Animania                                           | animania:kit_dutch                                     | EntityRabbitKitDutch              |    115 |
| Animania                                           | animania:kit_havana                                    | EntityRabbitKitHavana             |    118 |
| Animania                                           | animania:kit_jack                                      | EntityRabbitKitJack               |    121 |
| Animania                                           | animania:kit_lop                                       | EntityRabbitKitLop                |    130 |
| Animania                                           | animania:kit_new_zealand                               | EntityRabbitKitNewZealand         |    124 |
| Animania                                           | animania:kit_rex                                       | EntityRabbitKitRex                |    127 |
| Animania                                           | animania:lamb_dorper                                   | EntityLambDorper                  |     95 |
| Animania                                           | animania:lamb_dorset                                   | EntityLambDorset                  |     98 |
| Animania                                           | animania:lamb_friesian                                 | EntityLambFriesian                |     89 |
| Animania                                           | animania:lamb_jacob                                    | EntityLambJacob                   |    104 |
| Animania                                           | animania:lamb_merino                                   | EntityLambMerino                  |    101 |
| Animania                                           | animania:lamb_suffolk                                  | EntityLambSuffolk                 |     92 |
| Animania                                           | animania:mare_draft                                    | EntityMareDraftHorse              |      0 |
| Animania                                           | animania:peachick_blue                                 | EntityPeachickBlue                |    146 |
| Animania                                           | animania:peachick_charcoal                             | EntityPeachickCharcoal            |    131 |
| Animania                                           | animania:peachick_opal                                 | EntityPeachickOpal                |    134 |
| Animania                                           | animania:peachick_peach                                | EntityPeachickPeach               |    137 |
| Animania                                           | animania:peachick_purple                               | EntityPeachickPurple              |    140 |
| Animania                                           | animania:peachick_taupe                                | EntityPeachickTaupe               |    143 |
| Animania                                           | animania:peachick_white                                | EntityPeachickWhite               |    149 |
| Animania                                           | animania:peacock_blue                                  | EntityPeacockBlue                 |    148 |
| Animania                                           | animania:peacock_charcoal                              | EntityPeacockCharcoal             |    133 |
| Animania                                           | animania:peacock_opal                                  | EntityPeacockOpal                 |    136 |
| Animania                                           | animania:peacock_peach                                 | EntityPeacockPeach                |    139 |
| Animania                                           | animania:peacock_purple                                | EntityPeacockPurple               |    142 |
| Animania                                           | animania:peacock_taupe                                 | EntityPeacockTaupe                |    145 |
| Animania                                           | animania:peacock_white                                 | EntityPeacockWhite                |    151 |
| Animania                                           | animania:peahen_blue                                   | EntityPeafowlBlue                 |    147 |
| Animania                                           | animania:peahen_charcoal                               | EntityPeafowlCharcoal             |    132 |
| Animania                                           | animania:peahen_opal                                   | EntityPeafowlOpal                 |    135 |
| Animania                                           | animania:peahen_peach                                  | EntityPeafowlPeach                |    138 |
| Animania                                           | animania:peahen_purple                                 | EntityPeafowlPurple               |    141 |
| Animania                                           | animania:peahen_taupe                                  | EntityPeafowlTaupe                |    144 |
| Animania                                           | animania:peahen_white                                  | EntityPeafowlWhite                |    150 |
| Animania                                           | animania:piglet_duroc                                  | EntityPigletDuroc                 |     23 |
| Animania                                           | animania:piglet_hampshire                              | EntityPigletHampshire             |     20 |
| Animania                                           | animania:piglet_large_black                            | EntityPigletLargeBlack            |     14 |
| Animania                                           | animania:piglet_large_white                            | EntityPigletLargeWhite            |     17 |
| Animania                                           | animania:piglet_old_spot                               | EntityPigletOldSpot               |     11 |
| Animania                                           | animania:piglet_yorkshire                              | EntityPigletYorkshire             |      8 |
| Animania                                           | animania:ram_dorper                                    | EntityRamDorper                   |     97 |
| Animania                                           | animania:ram_dorset                                    | EntityRamDorset                   |    100 |
| Animania                                           | animania:ram_friesian                                  | EntityRamFriesian                 |     91 |
| Animania                                           | animania:ram_jacob                                     | EntityRamJacob                    |    106 |
| Animania                                           | animania:ram_merino                                    | EntityRamMerino                   |    103 |
| Animania                                           | animania:ram_suffolk                                   | EntityRamSuffolk                  |     94 |
| Animania                                           | animania:rooster_leghorn                               | EntityRoosterLeghorn              |     28 |
| Animania                                           | animania:rooster_orpington                             | EntityRoosterOrpington            |     31 |
| Animania                                           | animania:rooster_plymouth_rock                         | EntityRoosterPlymouthRock         |     34 |
| Animania                                           | animania:rooster_rhode_island_red                      | EntityRoosterRhodeIslandRed       |     37 |
| Animania                                           | animania:rooster_wyandotte                             | EntityRoosterWyandotte            |     40 |
| Animania                                           | animania:sow_duroc                                     | EntitySowDuroc                    |     24 |
| Animania                                           | animania:sow_hampshire                                 | EntitySowHampshire                |     21 |
| Animania                                           | animania:sow_large_black                               | EntitySowLargeBlack               |     15 |
| Animania                                           | animania:sow_large_white                               | EntitySowLargeWhite               |     18 |
| Animania                                           | animania:sow_old_spot                                  | EntitySowOldSpot                  |     12 |
| Animania                                           | animania:sow_yorkshire                                 | EntitySowYorkshire                |      9 |
| Animania                                           | animania:stallion_draft                                | EntityStallionDraftHorse          |      1 |
| Animania                                           | animania:tiller                                        | EntityTiller                      |    154 |
| Animania                                           | animania:toad                                          | EntityToad                        |     65 |
| Animania                                           | animania:wagon                                         | EntityWagon                       |    152 |
| Applied Energistics 2                              | appliedenergistics2:appeng.entity.entitychargedquartz  | EntityChargedQuartz               |     12 |
| Applied Energistics 2                              | appliedenergistics2:appeng.entity.entitygrowingcrystal | EntityGrowingCrystal              |     13 |
| Applied Energistics 2                              | appliedenergistics2:appeng.entity.entitysingularity    | EntitySingularity                 |     11 |
| Applied Energistics 2                              | appliedenergistics2:appeng.entity.entitytinytntprimed  | EntityTinyTNTPrimed               |     10 |
| Artifacts                                          | artifacts:hallow_star                                  | EntityHallowStar                  |      1 |
| Artifacts                                          | artifacts:mimic                                        | EntityMimic                       |      0 |
| Astral Sorcery                                     | astralsorcery:entitycrystal                            | EntityCrystal                     |      2 |
| Astral Sorcery                                     | astralsorcery:entitycrystaltool                        | EntityCrystalTool                 |      7 |
| Astral Sorcery                                     | astralsorcery:entityflare                              | EntityFlare                       |      3 |
| Astral Sorcery                                     | astralsorcery:entitygrapplinghook                      | EntityGrapplingHook               |      8 |
| Astral Sorcery                                     | astralsorcery:entityhighlighted                        | EntityItemHighlighted             |      0 |
| Astral Sorcery                                     | astralsorcery:entityilluminationspark                  | EntityIlluminationSpark           |      5 |
| Astral Sorcery                                     | astralsorcery:entityitemdamageresistant                | EntityItemExplosionResistant      |     13 |
| Astral Sorcery                                     | astralsorcery:entityliquidspark                        | EntityLiquidSpark                 |     10 |
| Astral Sorcery                                     | astralsorcery:entitynocturnalspark                     | EntityNocturnalSpark              |      6 |
| Astral Sorcery                                     | astralsorcery:entityobservatoryhelper                  | EntityObservatoryHelper           |     11 |
| Astral Sorcery                                     | astralsorcery:entityshootingstar                       | EntityShootingStar                |     12 |
| Astral Sorcery                                     | astralsorcery:entityspectraltool                       | EntitySpectralTool                |      9 |
| Astral Sorcery                                     | astralsorcery:entitystarburst                          | EntityStarburst                   |      4 |
| Astral Sorcery                                     | astralsorcery:entitystardust                           | EntityItemStardust                |      1 |
| Atum 2                                             | atum:arrow_double_shot_black                           | EntityArrowDoubleShotBlack        |     21 |
| Atum 2                                             | atum:arrow_double_shot_white                           | EntityArrowDoubleShotWhite        |     22 |
| Atum 2                                             | atum:arrow_explosive                                   | EntityArrowExplosive              |     23 |
| Atum 2                                             | atum:arrow_fire                                        | EntityArrowFire                   |     24 |
| Atum 2                                             | atum:arrow_poison                                      | EntityArrowPoison                 |     26 |
| Atum 2                                             | atum:arrow_quickdraw                                   | EntityArrowQuickdraw              |     27 |
| Atum 2                                             | atum:arrow_rain                                        | EntityArrowRain                   |     28 |
| Atum 2                                             | atum:arrow_slowness                                    | EntityArrowSlowness               |     29 |
| Atum 2                                             | atum:arrow_straight                                    | EntityArrowStraight               |     31 |
| Atum 2                                             | atum:assassin                                          | EntityAssassin                    |      1 |
| Atum 2                                             | atum:barbarian                                         | EntityBarbarian                   |      3 |
| Atum 2                                             | atum:bonestorm                                         | EntityBonestorm                   |      4 |
| Atum 2                                             | atum:brigand                                           | EntityBrigand                     |      5 |
| Atum 2                                             | atum:camel                                             | EntityCamel                       |      6 |
| Atum 2                                             | atum:camel_spit                                        | EntityCamelSpit                   |     20 |
| Atum 2                                             | atum:desert_rabbit                                     | EntityDesertRabbit                |     12 |
| Atum 2                                             | atum:desert_wolf                                       | EntityDesertWolf                  |      7 |
| Atum 2                                             | atum:forsaken                                          | EntityForsaken                    |      8 |
| Atum 2                                             | atum:heart_of_ra                                       | EntityHeartOfRa                   |     25 |
| Atum 2                                             | atum:mummy                                             | EntityMummy                       |      9 |
| Atum 2                                             | atum:nomad                                             | EntityNomad                       |     10 |
| Atum 2                                             | atum:pharaoh                                           | EntityPharaoh                     |     11 |
| Atum 2                                             | atum:scarab                                            | EntityScarab                      |     13 |
| Atum 2                                             | atum:small_bone                                        | EntitySmallBone                   |     30 |
| Atum 2                                             | atum:stoneguard                                        | EntityStoneguard                  |     14 |
| Atum 2                                             | atum:stonewarden                                       | EntityStonewarden                 |     15 |
| Atum 2                                             | atum:sunspeaker                                        | EntitySunspeaker                  |     16 |
| Atum 2                                             | atum:tarantula                                         | EntityTarantula                   |     17 |
| Atum 2                                             | atum:tefnuts_call                                      | EntityTefnutsCall                 |     32 |
| Atum 2                                             | atum:warlord                                           | EntityWarlord                     |      2 |
| Atum 2                                             | atum:wraith                                            | EntityWraith                      |     18 |
| Bear With Me                                       | bearwithme:entities/black_bear                         | EntityBlackBear                   |      2 |
| Bear With Me                                       | bearwithme:entities/grizzly_bear                       | EntityGrizzlyBear                 |      1 |
| Bear With Me                                       | bearwithme:entities/panda_bear                         | EntityPandaBear                   |      3 |
| Better Questing                                    | betterquesting:placeholder                             | EntityPlaceholder                 |      0 |
| Bewitchment                                        | bewitchment:baphomet                                   | EntityBaphomet                    |     18 |
| Bewitchment                                        | bewitchment:black_dog                                  | EntityBlackDog                    |      9 |
| Bewitchment                                        | bewitchment:cypress_broom                              | EntityCypressBroom                |      0 |
| Bewitchment                                        | bewitchment:demon                                      | EntityDemon                       |     13 |
| Bewitchment                                        | bewitchment:demoness                                   | EntityDemoness                    |     14 |
| Bewitchment                                        | bewitchment:dragons_blood_broom                        | EntityDragonsBloodBroom           |      3 |
| Bewitchment                                        | bewitchment:druden                                     | EntityDruden                      |     17 |
