+----------------------------------+--------------------------------------------------------------+---------+----------+---------+-----------+-----------------------------------------------------------------+--------+------------------------------------------------------------+
*** WARNING ***
The block and item IDs are dynamic and will be different on each world!
DO NOT use them for anything "proper"!! (other than manual editing/fixing of raw world data or something)
*** ALSO ***
The server doesn't have a list of sub block and sub items
(= items with different damage value or blocks with different metadata).
That is why the block and item list dumps only contain one entry per block/item class (separate ID) when run on a server.
NOTE: The metadata value displayed is from the ItemStacks from getSubBlocks(), it's NOT necessarily the metadata value in world!!
NOTE: For blocks, Subtypes = true is only based on the number of returned ItemStacks from getSubBlocks() being > 1
NOTE: For blocks, Subtypes = ? means that Item.getItemFromBlock(block) returned null or the command was run on the server side
The Exists column indicates whether the block currently exists in the game,
or is just a placeholder dummy air block for a remove block read from the block ID map in the level.dat file
+----------------------------------+--------------------------------------------------------------+---------+----------+---------+-----------+-----------------------------------------------------------------+--------+------------------------------------------------------------+
| Mod name                         | Registry name                                                | BlockID | Subtypes | Item ID | Item meta | Display name                                                    | Exists | Ore Dict keys                                              |
+----------------------------------+--------------------------------------------------------------+---------+----------+---------+-----------+-----------------------------------------------------------------+--------+------------------------------------------------------------+
| AE2 Stuff                        | ae2stuff:encoder                                             |     253 |    false |    4096 |         0 | Pattern Encoder                                                 | true   |                                                            |
| AE2 Stuff                        | ae2stuff:grower                                              |     254 |    false |    4097 |         0 | Crystal Growth Chamber                                          | true   |                                                            |
| AE2 Stuff                        | ae2stuff:inscriber                                           |     256 |    false |    4098 |         0 | Advanced Inscriber                                              | true   |                                                            |
| AE2 Stuff                        | ae2stuff:wireless                                            |     257 |    false |    4099 |         0 | Wireless Connector                                              | true   |                                                            |
| Additional Lights                | additional_lights:al_lamp_acacia_planks                      |     528 |    false |    6034 |         0 | Acacia Lamp                                                     | true   |                                                            |
| Additional Lights                | additional_lights:al_lamp_birch_planks                       |     529 |    false |    6035 |         0 | Birch Lamp                                                      | true   |                                                            |
| Additional Lights                | additional_lights:al_lamp_cobblestone                        |     535 |    false |    6041 |         0 | CobbleStone Lamp                                                | true   |                                                            |
| Additional Lights                | additional_lights:al_lamp_dark_oak_planks                    |     531 |    false |    6037 |         0 | Dark Oak Lamp                                                   | true   |                                                            |
| Additional Lights                | additional_lights:al_lamp_diamond_block                      |     541 |    false |    6047 |         0 | Diamond Lamp                                                    | true   |                                                            |
| Additional Lights                | additional_lights:al_lamp_end_stone                          |     537 |    false |    6043 |         0 | End Stone Lamp                                                  | true   |                                                            |
| Additional Lights                | additional_lights:al_lamp_glass                              |     538 |    false |    6044 |         0 | Glass Lamp                                                      | true   |                                                            |
| Additional Lights                | additional_lights:al_lamp_gold_block                         |     540 |    false |    6046 |         0 | Gold Lamp                                                       | true   |                                                            |
| Additional Lights                | additional_lights:al_lamp_iron_block                         |     539 |    false |    6045 |         0 | Iron Lamp                                                       | true   |                                                            |
| Additional Lights                | additional_lights:al_lamp_jungle_planks                      |     533 |    false |    6039 |         0 | Jungle Lamp                                                     | true   |                                                            |
| Additional Lights                | additional_lights:al_lamp_magenta_wool                       |     544 |    false |    6050 |         0 | Magenta Wool Lamp                                               | true   |                                                            |
| Additional Lights                | additional_lights:al_lamp_mossy_cobblestone                  |     536 |    false |    6042 |         0 | Mossy CobbleStone Lamp                                          | true   |                                                            |
| Additional Lights                | additional_lights:al_lamp_nether_bricks                      |     545 |    false |    6051 |         0 | Nether Bricks Lamp                                              | true   |                                                            |
| Additional Lights                | additional_lights:al_lamp_oak_planks                         |     530 |    false |    6036 |         0 | Oak Lamp                                                        | true   |                                                            |
| Additional Lights                | additional_lights:al_lamp_packed_ice                         |     542 |    false |    6048 |         0 | Ice Lamp                                                        | true   |                                                            |
| Additional Lights                | additional_lights:al_lamp_pink_wool                          |     543 |    false |    6049 |         0 | Pink Wool Lamp                                                  | true   |                                                            |
| Additional Lights                | additional_lights:al_lamp_red_nether_bricks                  |     546 |    false |    6052 |         0 | Red Nether Bricks Lamp                                          | true   |                                                            |
| Additional Lights                | additional_lights:al_lamp_spruce_planks                      |     532 |    false |    6038 |         0 | Spruce Lamp                                                     | true   |                                                            |
| Additional Lights                | additional_lights:al_lamp_stone                              |     534 |    false |    6040 |         0 | Stone Lamp                                                      | true   |                                                            |
| Additional Lights                | additional_lights:al_torch_acacia_planks                     |     547 |    false |    6053 |         0 | Acacia AlTorch                                                  | true   |                                                            |
| Additional Lights                | additional_lights:al_torch_birch_planks                      |     548 |    false |    6054 |         0 | Birch AlTorch                                                   | true   |                                                            |
| Additional Lights                | additional_lights:al_torch_cobblestone                       |     554 |    false |    6060 |         0 | CobbleStone AlTorch                                             | true   |                                                            |
| Additional Lights                | additional_lights:al_torch_dark_oak_planks                   |     550 |    false |    6056 |         0 | Dark Oak AlTorch                                                | true   |                                                            |
| Additional Lights                | additional_lights:al_torch_diamond_block                     |     565 |    false |    6071 |         0 | Diamond AlTorch                                                 | true   |                                                            |
| Additional Lights                | additional_lights:al_torch_end_stone                         |     556 |    false |    6062 |         0 | End Stone AlTorch                                               | true   |                                                            |
| Additional Lights                | additional_lights:al_torch_end_stone_bricks                  |     559 |    false |    6065 |         0 | End Stone Bricks AlTorch                                        | true   |                                                            |
| Additional Lights                | additional_lights:al_torch_glass                             |     562 |    false |    6068 |         0 | Glass AlTorch                                                   | true   |                                                            |
| Additional Lights                | additional_lights:al_torch_gold_block                        |     564 |    false |    6070 |         0 | Gold AlTorch                                                    | true   |                                                            |
| Additional Lights                | additional_lights:al_torch_iron_block                        |     563 |    false |    6069 |         0 | Iron AlTorch                                                    | true   |                                                            |
| Additional Lights                | additional_lights:al_torch_jungle_planks                     |     552 |    false |    6058 |         0 | Jungle AlTorch                                                  | true   |                                                            |
| Additional Lights                | additional_lights:al_torch_magenta_wool                      |     568 |    false |    6074 |         0 | Magenta Wool AlTorch                                            | true   |                                                            |
| Additional Lights                | additional_lights:al_torch_mossy_cobblestone                 |     555 |    false |    6061 |         0 | Mossy CobbleStone AlTorch                                       | true   |                                                            |
| Additional Lights                | additional_lights:al_torch_mossy_stone_bricks                |     558 |    false |    6064 |         0 | Mossy Stone Bricks AlTorch                                      | true   |                                                            |
| Additional Lights                | additional_lights:al_torch_nether_bricks                     |     560 |    false |    6066 |         0 | Nether Bricks AlTorch                                           | true   |                                                            |
| Additional Lights                | additional_lights:al_torch_oak_planks                        |     549 |    false |    6055 |         0 | Oak AlTorch                                                     | true   |                                                            |
| Additional Lights                | additional_lights:al_torch_packed_ice                        |     566 |    false |    6072 |         0 | Ice AlTorch                                                     | true   |                                                            |
| Additional Lights                | additional_lights:al_torch_pink_wool                         |     567 |    false |    6073 |         0 | Pink Wool AlTorch                                               | true   |                                                            |
| Additional Lights                | additional_lights:al_torch_red_nether_bricks                 |     561 |    false |    6067 |         0 | Red Nether Bricks AlTorch                                       | true   |                                                            |
| Additional Lights                | additional_lights:al_torch_spruce_planks                     |     551 |    false |    6057 |         0 | Spruce AlTorch                                                  | true   |                                                            |
| Additional Lights                | additional_lights:al_torch_stone                             |     553 |    false |    6059 |         0 | Stone AlTorch                                                   | true   |                                                            |
| Additional Lights                | additional_lights:al_torch_stone_bricks                      |     557 |    false |    6063 |         0 | Stone Bricks AlTorch                                            | true   |                                                            |
| Additional Lights                | additional_lights:fire_for_fire_pit_l                        |     644 |    false |    6150 |         0 | Fire For Fire Pit L                                             | true   |                                                            |
| Additional Lights                | additional_lights:fire_for_fire_pit_s                        |     643 |    false |    6149 |         0 | Fire For Fire Pit                                               | true   |                                                            |
| Additional Lights                | additional_lights:fire_for_standing_torch_l                  |     642 |    false |    6148 |         0 | Fire For Standing Torch L                                       | true   |                                                            |
| Additional Lights                | additional_lights:fire_for_standing_torch_s                  |     641 |    false |    6147 |         0 | Fire For Standing Torch                                         | true   |                                                            |
| Additional Lights                | additional_lights:fire_pit_l_cobblestone                     |     632 |    false |    6138 |         0 | CobbleStone Fire Pit - L                                        | true   |                                                            |
| Additional Lights                | additional_lights:fire_pit_l_diamond_block                   |     637 |    false |    6143 |         0 | Diamond Fire Pit - L                                            | true   |                                                            |
| Additional Lights                | additional_lights:fire_pit_l_end_stone                       |     634 |    false |    6140 |         0 | End Stone Fire Pit - L                                          | true   |                                                            |
| Additional Lights                | additional_lights:fire_pit_l_end_stone_bricks                |     625 |    false |    6131 |         0 | End Stone Bricks Fire Pit - L                                   | true   |                                                            |
| Additional Lights                | additional_lights:fire_pit_l_gold_block                      |     636 |    false |    6142 |         0 | Gold Fire Pit - L                                               | true   |                                                            |
| Additional Lights                | additional_lights:fire_pit_l_iron_block                      |     635 |    false |    6141 |         0 | Iron Fire Pit - L                                               | true   |                                                            |
| Additional Lights                | additional_lights:fire_pit_l_magenta_wool                    |     640 |    false |    6146 |         0 | Magenta Wool Fire Pit - L                                       | true   |                                                            |
| Additional Lights                | additional_lights:fire_pit_l_mossy_cobblestone               |     633 |    false |    6139 |         0 | Mossy CobbleStone Fire Pit - L                                  | true   |                                                            |
| Additional Lights                | additional_lights:fire_pit_l_mossy_stone_bricks              |     624 |    false |    6130 |         0 | Mossy Stone Bricks Fire Pit - L                                 | true   |                                                            |
| Additional Lights                | additional_lights:fire_pit_l_nether_bricks                   |     626 |    false |    6132 |         0 | Nether Bricks Fire Pit - L                                      | true   |                                                            |
| Additional Lights                | additional_lights:fire_pit_l_packed_ice                      |     638 |    false |    6144 |         0 | Ice Fire Pit - L                                                | true   |                                                            |
| Additional Lights                | additional_lights:fire_pit_l_pink_wool                       |     639 |    false |    6145 |         0 | Pink Wool Fire Pit - L                                          | true   |                                                            |
| Additional Lights                | additional_lights:fire_pit_l_polished_andesite               |     628 |    false |    6134 |         0 | Polished Andesite Fire Pit - L                                  | true   |                                                            |
| Additional Lights                | additional_lights:fire_pit_l_polished_diorite                |     629 |    false |    6135 |         0 | Polished Diorite Fire Pit - L                                   | true   |                                                            |
| Additional Lights                | additional_lights:fire_pit_l_polished_granite                |     630 |    false |    6136 |         0 | Polished Granite Fire Pit - L                                   | true   |                                                            |
| Additional Lights                | additional_lights:fire_pit_l_red_nether_bricks               |     627 |    false |    6133 |         0 | Red Nether Bricks Fire Pit - L                                  | true   |                                                            |
| Additional Lights                | additional_lights:fire_pit_l_stone                           |     631 |    false |    6137 |         0 | Stone Fire Pit - L                                              | true   |                                                            |
| Additional Lights                | additional_lights:fire_pit_l_stone_bricks                    |     623 |    false |    6129 |         0 | Stone Bricks Fire Pit - L                                       | true   |                                                            |
| Additional Lights                | additional_lights:fire_pit_s_cobblestone                     |     614 |    false |    6120 |         0 | CobbleStone Fire Pit                                            | true   |                                                            |
| Additional Lights                | additional_lights:fire_pit_s_diamond_block                   |     619 |    false |    6125 |         0 | Diamond Fire Pit                                                | true   |                                                            |
| Additional Lights                | additional_lights:fire_pit_s_end_stone                       |     616 |    false |    6122 |         0 | End Stone Fire Pit                                              | true   |                                                            |
| Additional Lights                | additional_lights:fire_pit_s_end_stone_bricks                |     607 |    false |    6113 |         0 | End Stone Bricks Fire Pit                                       | true   |                                                            |
| Additional Lights                | additional_lights:fire_pit_s_gold_block                      |     618 |    false |    6124 |         0 | Gold Fire Pit                                                   | true   |                                                            |
| Additional Lights                | additional_lights:fire_pit_s_iron_block                      |     617 |    false |    6123 |         0 | Iron Fire Pit                                                   | true   |                                                            |
| Additional Lights                | additional_lights:fire_pit_s_magenta_wool                    |     622 |    false |    6128 |         0 | Magenta Wool Fire Pit                                           | true   |                                                            |
| Additional Lights                | additional_lights:fire_pit_s_mossy_cobblestone               |     615 |    false |    6121 |         0 | Mossy CobbleStone Fire Pit                                      | true   |                                                            |
| Additional Lights                | additional_lights:fire_pit_s_mossy_stone_bricks              |     606 |    false |    6112 |         0 | Mossy Stone Bricks Fire Pit                                     | true   |                                                            |
| Additional Lights                | additional_lights:fire_pit_s_nether_bricks                   |     608 |    false |    6114 |         0 | Nether Bricks Fire Pit                                          | true   |                                                            |
| Additional Lights                | additional_lights:fire_pit_s_packed_ice                      |     620 |    false |    6126 |         0 | Ice Fire Pit                                                    | true   |                                                            |
| Additional Lights                | additional_lights:fire_pit_s_pink_wool                       |     621 |    false |    6127 |         0 | Pink Wool Fire Pit                                              | true   |                                                            |
| Additional Lights                | additional_lights:fire_pit_s_polished_andesite               |     610 |    false |    6116 |         0 | Polished Andesite Fire Pit                                      | true   |                                                            |
| Additional Lights                | additional_lights:fire_pit_s_polished_diorite                |     611 |    false |    6117 |         0 | Polished Diorite Fire Pit                                       | true   |                                                            |
| Additional Lights                | additional_lights:fire_pit_s_polished_granite                |     612 |    false |    6118 |         0 | Polished Granite Fire Pit                                       | true   |                                                            |
| Additional Lights                | additional_lights:fire_pit_s_red_nether_bricks               |     609 |    false |    6115 |         0 | Red Nether Bricks Fire Pit                                      | true   |                                                            |
| Additional Lights                | additional_lights:fire_pit_s_stone                           |     613 |    false |    6119 |         0 | Stone Fire Pit                                                  | true   |                                                            |
| Additional Lights                | additional_lights:fire_pit_s_stone_bricks                    |     605 |    false |    6111 |         0 | Stone Bricks Fire Pit                                           | true   |                                                            |
| Additional Lights                | additional_lights:standing_torch_l_cobblestone               |     596 |    false |    6102 |         0 | CobbleStone Standing Torch - L                                  | true   |                                                            |
| Additional Lights                | additional_lights:standing_torch_l_diamond_block             |     601 |    false |    6107 |         0 | Diamond Standing Torch - L                                      | true   |                                                            |
| Additional Lights                | additional_lights:standing_torch_l_end_stone                 |     598 |    false |    6104 |         0 | End Stone Standing Torch - L                                    | true   |                                                            |
| Additional Lights                | additional_lights:standing_torch_l_end_stone_bricks          |     589 |    false |    6095 |         0 | End Stone Bricks Standing Torch - L                             | true   |                                                            |
| Additional Lights                | additional_lights:standing_torch_l_gold_block                |     600 |    false |    6106 |         0 | Gold Standing Torch - L                                         | true   |                                                            |
| Additional Lights                | additional_lights:standing_torch_l_iron_block                |     599 |    false |    6105 |         0 | Iron Standing Torch - L                                         | true   |                                                            |
| Additional Lights                | additional_lights:standing_torch_l_magenta_wool              |     604 |    false |    6110 |         0 | Magenta Wool Standing Torch - L                                 | true   |                                                            |
| Additional Lights                | additional_lights:standing_torch_l_mossy_cobblestone         |     597 |    false |    6103 |         0 | Mossy CobbleStone Standing Torch - L                            | true   |                                                            |
| Additional Lights                | additional_lights:standing_torch_l_mossy_stone_bricks        |     588 |    false |    6094 |         0 | Mossy Stone Bricks Standing Torch - L                           | true   |                                                            |
| Additional Lights                | additional_lights:standing_torch_l_nether_bricks             |     590 |    false |    6096 |         0 | Nether Bricks Standing Torch - L                                | true   |                                                            |
| Additional Lights                | additional_lights:standing_torch_l_packed_ice                |     602 |    false |    6108 |         0 | Ice Standing Torch - L                                          | true   |                                                            |
| Additional Lights                | additional_lights:standing_torch_l_pink_wool                 |     603 |    false |    6109 |         0 | Pink Wool Standing Torch - L                                    | true   |                                                            |
| Additional Lights                | additional_lights:standing_torch_l_polished_andesite         |     592 |    false |    6098 |         0 | Polished Andesite Standing Torch - L                            | true   |                                                            |
| Additional Lights                | additional_lights:standing_torch_l_polished_diorite          |     593 |    false |    6099 |         0 | Polished Diorite Standing Torch - L                             | true   |                                                            |
| Additional Lights                | additional_lights:standing_torch_l_polished_granite          |     594 |    false |    6100 |         0 | Polished Granite Standing Torch - L                             | true   |                                                            |
| Additional Lights                | additional_lights:standing_torch_l_red_nether_bricks         |     591 |    false |    6097 |         0 | Red Nether Bricks Standing Torch - L                            | true   |                                                            |
| Additional Lights                | additional_lights:standing_torch_l_stone                     |     595 |    false |    6101 |         0 | Stone Standing Torch - L                                        | true   |                                                            |
| Additional Lights                | additional_lights:standing_torch_l_stone_bricks              |     587 |    false |    6093 |         0 | Stone Bricks Standing Torch - L                                 | true   |                                                            |
| Additional Lights                | additional_lights:standing_torch_s_cobblestone               |     578 |    false |    6084 |         0 | CobbleStone Standing Torch                                      | true   |                                                            |
| Additional Lights                | additional_lights:standing_torch_s_diamond_block             |     583 |    false |    6089 |         0 | Diamond Standing Torch                                          | true   |                                                            |
| Additional Lights                | additional_lights:standing_torch_s_end_stone                 |     580 |    false |    6086 |         0 | End Stone Standing Torch                                        | true   |                                                            |
| Additional Lights                | additional_lights:standing_torch_s_end_stone_bricks          |     571 |    false |    6077 |         0 | End Stone Bricks Standing Torch                                 | true   |                                                            |
| Additional Lights                | additional_lights:standing_torch_s_gold_block                |     582 |    false |    6088 |         0 | Gold Standing Torch                                             | true   |                                                            |
| Additional Lights                | additional_lights:standing_torch_s_iron_block                |     581 |    false |    6087 |         0 | Iron  Standing Torch                                            | true   |                                                            |
| Additional Lights                | additional_lights:standing_torch_s_magenta_wool              |     586 |    false |    6092 |         0 | Magenta Wool Standing Torch                                     | true   |                                                            |
| Additional Lights                | additional_lights:standing_torch_s_mossy_cobblestone         |     579 |    false |    6085 |         0 | Mossy CobbleStone Standing Torch                                | true   |                                                            |
| Additional Lights                | additional_lights:standing_torch_s_mossy_stone_bricks        |     570 |    false |    6076 |         0 | Mossy Stone Bricks Standing Torch                               | true   |                                                            |
| Additional Lights                | additional_lights:standing_torch_s_nether_bricks             |     572 |    false |    6078 |         0 | Nether Bricks Standing Torch                                    | true   |                                                            |
| Additional Lights                | additional_lights:standing_torch_s_packed_ice                |     584 |    false |    6090 |         0 | Ice Standing Torch                                              | true   |                                                            |
| Additional Lights                | additional_lights:standing_torch_s_pink_wool                 |     585 |    false |    6091 |         0 | Pink Wool Standing Torch                                        | true   |                                                            |
| Additional Lights                | additional_lights:standing_torch_s_polished_andesite         |     574 |    false |    6080 |         0 | Polished Andesite Standing Torch                                | true   |                                                            |
| Additional Lights                | additional_lights:standing_torch_s_polished_diorite          |     575 |    false |    6081 |         0 | Polished Diorite Standing Torch                                 | true   |                                                            |
| Additional Lights                | additional_lights:standing_torch_s_polished_granite          |     576 |    false |    6082 |         0 | Polished Granite Standing Torch                                 | true   |                                                            |
| Additional Lights                | additional_lights:standing_torch_s_red_nether_bricks         |     573 |    false |    6079 |         0 | Red Nether Bricks Standing Torch                                | true   |                                                            |
| Additional Lights                | additional_lights:standing_torch_s_stone                     |     577 |    false |    6083 |         0 | Stone Standing Torch                                            | true   |                                                            |
| Additional Lights                | additional_lights:standing_torch_s_stone_bricks              |     569 |    false |    6075 |         0 | Stone Bricks Standing Torch                                     | true   |                                                            |
| AetherWorks                      | aetherworks:aether_ore                                       |     722 |    false |    6275 |         0 | Aetherium Ore                                                   | true   | oreAether                                                  |
| AetherWorks                      | aetherworks:aether_prism_controller_matrix                   |     723 |    false |    6276 |         0 | Aetherium Lens Focusing Matrix                                  | true   |                                                            |
| AetherWorks                      | aetherworks:aetherium_gas                                    |     728 |    false |    6281 |         0 | Aetherium Gas                                                   | true   |                                                            |
| AetherWorks                      | aetherworks:block_aether                                     |     730 |    false |    6283 |         0 | Aetherium Block                                                 | true   | blockAether                                                |
| AetherWorks                      | aetherworks:forge_component                                  |     731 |     true |    6284 |         0 | Aetherium Forge Core                                            | true   |                                                            |
| AetherWorks                      | aetherworks:forge_component                                  |     731 |     true |    6284 |         1 | Aetherium Forge Heater                                          | true   |                                                            |
| AetherWorks                      | aetherworks:forge_component                                  |     731 |     true |    6284 |         2 | Aetherium Forge Cooler                                          | true   |                                                            |
| AetherWorks                      | aetherworks:forge_component                                  |     731 |     true |    6284 |         3 | Aetherium Forge Heat Vent                                       | true   |                                                            |
| AetherWorks                      | aetherworks:forge_component                                  |     731 |     true |    6284 |         4 | Aetherium Forge Metal Former                                    | true   |                                                            |
| AetherWorks                      | aetherworks:forge_component                                  |     731 |     true |    6284 |         5 | Aetherium Forge Anvil                                           | true   |                                                            |
| AetherWorks                      | aetherworks:forge_structure                                  |     729 |    false |    6282 |         0 | tile.aw.forge_structure.name                                    | true   |                                                            |
| AetherWorks                      | aetherworks:heat_dial                                        |     732 |    false |    6285 |         0 | Heat Gauge                                                      | true   |                                                            |
| AetherWorks                      | aetherworks:impure_aetherium_gas                             |     727 |    false |    6280 |         0 | Impure Aetherium Gas                                            | true   |                                                            |
| AetherWorks                      | aetherworks:moonlight_amplifier                              |     724 |    false |    6277 |         0 | Moonlight Amplifier                                             | true   |                                                            |
| AetherWorks                      | aetherworks:prism                                            |     726 |    false |    6279 |         0 | Aetherium Prism                                                 | true   |                                                            |
| AetherWorks                      | aetherworks:prism_support                                    |     725 |    false |    6278 |         0 | Aetherium Prism Support                                         | true   |                                                            |
| Animania                         | animania:block_hamster_wheel                                 |    4489 |    false |    4338 |         0 | Hamster Wheel                                                   | true   |                                                            |
| Animania                         | animania:block_hive                                          |    4498 |    false |    4333 |         0 | Bee Hive                                                        | true   |                                                            |
| Animania                         | animania:block_mud                                           |    4483 |    false |    4335 |         0 | Farmhouse Mud                                                   | true   | blockMud                                                   |
| Animania                         | animania:block_nest                                          |    4486 |    false |    4337 |         0 | Nest                                                            | true   |                                                            |
| Animania                         | animania:block_seeds                                         |    4487 |    false |         |           | Seeds                                                           | true   |                                                            |
| Animania                         | animania:block_straw                                         |    4488 |    false |    4324 |         0 | Straw                                                           | true   |                                                            |
| Animania                         | animania:block_trough                                        |    4484 |    false |    4336 |         0 | Trough                                                          | true   |                                                            |
| Animania                         | animania:block_wild_hive                                     |    4499 |    false |    4334 |         0 | Bee Nest                                                        | true   |                                                            |
| Animania                         | animania:cheese_friesian                                     |    4490 |    false |    4325 |         0 | Cheese Wheel (Friesian)                                         | true   |                                                            |
| Animania                         | animania:cheese_goat                                         |    4493 |    false |    4328 |         0 | Cheese Wheel (Goat)                                             | true   |                                                            |
| Animania                         | animania:cheese_holstein                                     |    4491 |    false |    4326 |         0 | Cheese Wheel (Holstein)                                         | true   |                                                            |
| Animania                         | animania:cheese_jersey                                       |    4492 |    false |    4327 |         0 | Cheese Wheel (Jersey)                                           | true   |                                                            |
| Animania                         | animania:cheese_mold                                         |    4495 |    false |    4330 |         0 | Cheese Mold                                                     | true   |                                                            |
| Animania                         | animania:cheese_sheep                                        |    4494 |    false |    4329 |         0 | Cheese Wheel (Sheep)                                            | true   |                                                            |
| Animania                         | animania:honey                                               |     264 |    false |         |           | Honey Block                                                     | true   |                                                            |
| Animania                         | animania:invisiblock                                         |    4485 |    false |         |           | Trough                                                          | true   |                                                            |
| Animania                         | animania:milk_friesian                                       |     260 |    false |         |           | tile.milk_friesian.name                                         | true   |                                                            |
| Animania                         | animania:milk_goat                                           |     262 |    false |         |           | tile.milk_goat.name                                             | true   |                                                            |
| Animania                         | animania:milk_holstein                                       |     259 |    false |         |           | tile.milk_holstein.name                                         | true   |                                                            |
